set VENUES := V1 V2 V3 V4 V5 V6 V7 V8 V9 V10;
set SPORTS := S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15;

param c :=
  V1 500
  V2 500
  V3 400
  V4 400
  V5 350
  V6 350
  V7 300
  V8 250
  V9 300
  V10 250;

param kappa :=
  V1 3
  V2 3
  V3 3
  V4 2
  V5 2
  V6 2
  V7 2
  V8 2
  V9 2
  V10 2;

param a: S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 :=
V1   1  0  0  1  0  0  0  0  0   0   1   0   0   0   0
V2   1  0  0  1  0  0  0  0  0   0   1   0   0   1   0
V3   0  0  1  0  1  0  0  0  0   1   0   0   0   0   0
V4   0  0  0  1  1  0  0  0  1   0   0   0   0   0   0
V5   0  1  1  0  0  0  0  0  0   1   0   0   0   0   0
V6   0  1  0  0  0  1  1  0  0   0   0   0   0   0   0
V7   0  0  0  0  0  1  1  0  0   0   0   0   0   0   1
V8   0  0  0  0  0  0  0  1  0   0   0   1   1   0   0
V9   0  0  1  0  1  1  0  0  0   1   0   0   0   0   0
V10  0  0  0  0  0  0  1  1  1   0   0   1   0   0   0;
